Age of air (ybp)	Temperature anomaly (deg. C)	Carbon dioxide concentration (ppm)
2342	-1.21	284.7
2374	-1.44	284.3033333
2418	-0.73	283.9066667
2460	-0.63	283.51
2501	0.3	283.1133333
2542	-0.27	282.7166667
2585	-1.36	282.32
2628	-0.17	281.9233333
2670	-0.02	281.5266667
2713	-1.19	281.13
2760	-1.97	280.7333333
2805	-0.61	280.3366667
2847	0.58	279.94
2889	-0.38	279.5433333
2934	-1.34	279.1466667
2980	-1.41	278.75
3026	-0.73	278.3533333
3070	-0.25	277.9566667
3114	-0.53	277.56
3158	-0.08	277.1633333
3201	0.15	276.7666667
3245	-0.43	276.37
3289	-0.61	275.9733333
3334	-0.3	275.5766667
3379	-0.13	275.18
3422	0.22	274.7833333
3466	0.17	274.3866667
3511	-0.91	273.99
3558	-0.9	273.5933333
3603	0.3	273.1966667
3634	0.475	272.8
3646	0.65	272.0166667
3689	0.58	271.2333333
3732	0.03	270.45
3778	-0.63	269.6666667
3824	-0.46	268.8833333
3833	-0.23	268.1
3870	0	267.9865385
3915	-0.23	267.8730769
3962	-0.66	267.7596154
4009	-0.73	267.6461538
4057	-0.75	267.5326923
4104	-0.91	267.4192308
4153	-1.09	267.3057692
4202	-1	267.1923077
4250	-0.53	267.0788462
4295	0.55	266.9653846
4339	1.13	266.8519231
4381	1.13	266.7384615
4423	1.13	266.625
4466	1.13	266.5115385
4509	1.13	266.3980769
4552	0.88	266.2846154
4596	0.2	266.1711538
4642	-0.33	266.0576923
4690	-0.88	265.9442308
4739	-0.58	265.8307692
4786	0.25	265.7173077
4831	0	265.6038462
4880	-1.14	265.4903846
4929	-0.66	265.3769231
4977	-0.36	265.2634615
5025	-0.66	265.15
5072	0.13	265.0365385
5118	0.18	264.9230769
5165	-0.38	264.8096154
5212	-0.22	264.6961538
5259	0.28	264.5826923
5305	0.1	264.4692308
5351	0.08	264.3557692
5397	0.5	264.2423077
5442	0.5	264.1288462
5488	0.2	264.0153846
5534	0.02	263.9019231
5581	0.08	263.7884615
5627	0.03	263.675
5674	-0.06	263.5615385
5721	-0.15	263.4480769
5769	-0.25	263.3346154
5816	-0.22	263.2211538
5863	0.15	263.1076923
5909	0.45	262.9942308
5955	-0.13	262.8807692
6004	-0.73	262.7673077
6052	-0.21	262.6538462
6099	0.32	262.5403846
6145	-0.17	262.4269231
6193	-0.33	262.3134615
6220	-0.12	262.2
6241	0.09	261.8833333
6287	0.28	261.5666667
6334	-0.55	261.25
6385	-1.59	260.9333333
6436	-1.09	260.6166667
6486	-0.31	260.3
6534	-0.62	259.9833333
6583	-0.65	259.6666667
6631	0.37	259.35
6677	0.37	259.0333333
6724	-0.36	258.7166667
6773	-0.84	258.4
6823	-1.28	258.0833333
6874	-1.14	257.7666667
6924	-0.58	257.45
6973	-0.59	257.1333333
7023	-1.05	256.8166667
7074	-1.2	256.5
7124	-0.63	256.1833333
7172	0.02	255.8666667
7220	-0.04	255.55
7267	-0.11	255.2333333
7315	-0.29	254.9166667
7327	-0.55	254.6
7364	-0.81	254.8941176
7413	-0.58	255.1882353
7462	0.02	255.4823529
7509	-0.03	255.7764706
7555	0.48	256.0705882
7602	-0.02	256.3647059
7649	0.02	256.6588235
7697	-0.04	256.9529412
7745	-0.72	257.2470588
7794	-0.57	257.5411765
7844	-0.9	257.8352941
7894	-0.93	258.1294118
7944	-0.69	258.4235294
7994	-0.54	258.7176471
8043	-0.64	259.0117647
8091	0.3	259.3058824
8113	1.18	259.6
8135	2.06	259.647619
8178	0.59	259.6952381
8226	-0.87	259.7428571
